Date,Open,High,Low,Close,Volume,asset,1d_abs,1d_dir,2d_abs,1d_cls,2d_cls,3d_cls,4d_cls,5d_cls,6d_cls,7d_cls,8d_cls,9d_cls,10d_cls,50d_ma,100d_ma,200d_ma
2013-03-08,28.43,28.47,27.73,27.96,44198900,fb,-0.6199999999999974,0,0.5100000000000016,28.58,27.45,27.52,27.72,27.78,27.25,26.87,27.39,27.27,27.13,28.854800000000008,26.246799999999997,25.61875
2013-03-11,28.01,28.64,27.83,28.14,35642100,fb,0.17999999999999972,1,-0.4399999999999977,27.96,28.58,27.45,27.52,27.72,27.78,27.25,26.87,27.39,27.27,28.88740000000001,26.330699999999997,25.5893
2013-03-12,28.1,28.32,27.6,27.83,27569600,fb,-0.3100000000000023,0,-0.13000000000000256,28.14,27.96,28.58,27.45,27.52,27.72,27.78,27.25,26.87,27.39,28.923000000000012,26.413799999999995,25.57345
2013-03-13,27.62,27.65,26.92,27.08,39619500,fb,-0.75,0,-1.0600000000000023,27.83,28.14,27.96,28.58,27.45,27.52,27.72,27.78,27.25,26.87,28.946400000000008,26.489399999999996,25.54885
2013-03-14,27.1,27.43,26.83,27.04,27646400,fb,-0.03999999999999915,0,-0.7899999999999991,27.08,27.83,28.14,27.96,28.58,27.45,27.52,27.72,27.78,27.25,28.95480000000001,26.564999999999994,25.518900000000002
2013-03-15,27.03,27.06,26.56,26.65,31597400,fb,-0.39000000000000057,0,-0.4299999999999997,27.04,27.08,27.83,28.14,27.96,28.58,27.45,27.52,27.72,27.78,28.927800000000012,26.632699999999996,25.492600000000003
2013-03-18,26.37,26.79,25.78,26.49,26653700,fb,-0.16000000000000014,0,-0.5500000000000007,26.65,27.04,27.08,27.83,28.14,27.96,28.58,27.45,27.52,27.72,28.90220000000001,26.70779999999999,25.48085
2013-03-19,26.53,26.9,26.21,26.55,25254200,fb,0.060000000000002274,1,-0.09999999999999787,26.49,26.65,27.04,27.08,27.83,28.14,27.96,28.58,27.45,27.52,28.85800000000001,26.783299999999993,25.47265
2013-03-20,26.68,26.69,25.78,25.86,44006500,fb,-0.6900000000000013,0,-0.629999999999999,26.55,26.49,26.65,27.04,27.08,27.83,28.14,27.96,28.58,27.45,28.786800000000007,26.848699999999994,25.45395
2013-03-21,25.66,26.11,25.56,25.74,24336100,fb,-0.120000000000001,0,-0.8100000000000023,25.86,26.55,26.49,26.65,27.04,27.08,27.83,28.14,27.96,28.58,28.72040000000001,26.91109999999999,25.444049999999997
2013-03-22,25.8,26.01,25.63,25.73,18456300,fb,-0.00999999999999801,0,-0.129999999999999,25.74,25.86,26.55,26.49,26.65,27.04,27.08,27.83,28.14,27.96,28.62320000000001,26.936099999999993,25.4382
2013-03-25,25.75,25.8,25.08,25.13,39199000,fb,-0.6000000000000014,0,-0.6099999999999994,25.73,25.74,25.86,26.55,26.49,26.65,27.04,27.08,27.83,28.14,28.499800000000015,26.961799999999993,25.4345
2013-03-26,25.08,25.48,25.03,25.21,26957200,fb,0.08000000000000185,1,-0.5199999999999996,25.13,25.73,25.74,25.86,26.55,26.49,26.65,27.04,27.08,27.83,28.369600000000013,26.994499999999995,25.426499999999997
2013-03-27,25.0,26.28,24.72,26.09,52297400,fb,0.879999999999999,1,0.9600000000000009,25.21,25.13,25.73,25.74,25.86,26.55,26.49,26.65,27.04,27.08,28.27240000000001,27.044299999999993,25.425399999999996
2013-03-28,26.09,26.17,25.52,25.58,28585700,fb,-0.5100000000000016,0,0.36999999999999744,26.09,25.21,25.13,25.73,25.74,25.86,26.55,26.49,26.65,27.04,28.182000000000013,27.087999999999994,25.417799999999993
2013-04-01,25.63,25.89,25.28,25.53,22249300,fb,-0.04999999999999716,0,-0.5599999999999987,25.58,26.09,25.21,25.13,25.73,25.74,25.86,26.55,26.49,26.65,28.09560000000001,27.131499999999996,25.410399999999992
2013-04-02,25.77,26.12,25.3,25.42,35153300,fb,-0.10999999999999943,0,-0.1599999999999966,25.53,25.58,26.09,25.21,25.13,25.73,25.74,25.86,26.55,26.49,28.00120000000001,27.173199999999998,25.400499999999994
2013-04-03,25.83,26.39,25.7,26.25,48195200,fb,0.8299999999999983,1,0.7199999999999989,25.42,25.53,25.58,26.09,25.21,25.13,25.73,25.74,25.86,26.55,27.93300000000001,27.223999999999997,25.39539999999999
2013-04-04,26.62,27.23,26.11,27.07,82016800,fb,0.8200000000000003,1,1.6499999999999986,26.25,25.42,25.53,25.58,26.09,25.21,25.13,25.73,25.74,25.86,27.85980000000001,27.29,25.389299999999988
2013-04-05,26.86,27.8,26.61,27.39,64566600,fb,0.3200000000000003,1,1.1400000000000006,27.07,26.25,25.42,25.53,25.58,26.09,25.21,25.13,25.73,25.74,27.791200000000014,27.364,25.37619999999999
2013-04-08,27.19,27.2,26.63,26.85,27256000,fb,-0.5399999999999991,0,-0.21999999999999886,27.39,27.07,26.25,25.42,25.53,25.58,26.09,25.21,25.13,25.73,27.706600000000012,27.4404,25.353399999999993
2013-04-09,26.58,26.89,26.42,26.59,21311100,fb,-0.26000000000000156,0,-0.8000000000000007,26.85,27.39,27.07,26.25,25.42,25.53,25.58,26.09,25.21,25.13,27.607600000000012,27.5056,25.326799999999995
2013-04-10,27.01,27.84,26.9,27.57,45949400,fb,0.9800000000000004,1,0.7199999999999989,26.59,26.85,27.39,27.07,26.25,25.42,25.53,25.58,26.09,25.21,27.50960000000001,27.5827,25.30664999999999
2013-04-11,27.48,28.1,27.25,28.02,33368500,fb,0.4499999999999993,1,1.4299999999999997,27.57,26.59,26.85,27.39,27.07,26.25,25.42,25.53,25.58,26.09,27.45420000000001,27.6393,25.287549999999992
2013-04-12,28.0,28.0,27.24,27.4,28697400,fb,-0.620000000000001,0,-0.1700000000000017,28.02,27.57,26.59,26.85,27.39,27.07,26.25,25.42,25.53,25.58,27.377400000000012,27.691599999999998,25.25929999999999
2013-04-15,27.16,27.48,26.36,26.52,30275400,fb,-0.879999999999999,0,-1.5,27.4,28.02,27.57,26.59,26.85,27.39,27.07,26.25,25.42,25.53,27.28820000000001,27.7212,25.23159999999999
2013-04-16,26.81,27.11,26.4,26.92,27365900,fb,0.40000000000000213,1,-0.4799999999999969,26.52,27.4,28.02,27.57,26.59,26.85,27.39,27.07,26.25,25.42,27.232000000000014,27.7612,25.200699999999987
2013-04-17,26.65,27.2,26.39,26.63,26440600,fb,-0.2900000000000027,0,0.10999999999999943,26.92,26.52,27.4,28.02,27.57,26.59,26.85,27.39,27.07,26.25,27.202400000000015,27.7965,25.172699999999992
2013-04-18,26.82,26.82,25.15,25.69,39059000,fb,-0.9399999999999977,0,-1.2300000000000004,26.63,26.92,26.52,27.4,28.02,27.57,26.59,26.85,27.39,27.07,27.143400000000014,27.8102,25.14434999999999
2013-04-19,25.62,25.96,25.33,25.73,20380900,fb,0.03999999999999915,1,-0.8999999999999986,25.69,26.63,26.92,26.52,27.4,28.02,27.57,26.59,26.85,27.39,27.077000000000016,27.8275,25.117499999999986
2013-04-22,25.81,26.36,25.7,25.97,25687600,fb,0.23999999999999844,1,0.2799999999999976,25.73,25.69,26.63,26.92,26.52,27.4,28.02,27.57,26.59,26.85,27.023400000000017,27.827799999999996,25.093499999999985
2013-04-23,26.22,26.33,25.77,25.98,25191500,fb,0.010000000000001563,1,0.25,25.97,25.73,25.69,26.63,26.92,26.52,27.4,28.02,27.57,26.59,26.972000000000016,27.826099999999997,25.067399999999985
2013-04-24,25.93,26.4,25.8,26.11,19729900,fb,0.129999999999999,1,0.14000000000000057,25.98,25.97,25.73,25.69,26.63,26.92,26.52,27.4,28.02,27.57,26.929000000000016,27.823599999999995,25.04059999999998
2013-04-25,26.07,26.4,26.0,26.14,17150000,fb,0.030000000000001137,1,0.16000000000000014,26.11,25.98,25.97,25.73,25.69,26.63,26.92,26.52,27.4,28.02,26.90440000000002,27.811799999999995,25.012649999999987
2013-04-26,26.6,27.62,26.6,26.85,33018000,fb,0.7100000000000009,1,0.740000000000002,26.14,26.11,25.98,25.97,25.73,25.69,26.63,26.92,26.52,27.4,26.883200000000016,27.800299999999993,24.986049999999988
2013-04-29,27.16,27.41,26.86,26.98,29201100,fb,0.129999999999999,1,0.8399999999999999,26.85,26.14,26.11,25.98,25.97,25.73,25.69,26.63,26.92,26.52,26.852800000000016,27.799699999999994,24.963599999999982
2013-04-30,27.13,27.85,27.01,27.77,36245700,fb,0.7899999999999991,1,0.9199999999999982,26.98,26.85,26.14,26.11,25.98,25.97,25.73,25.69,26.63,26.92,26.841800000000017,27.802799999999994,24.947599999999984
2013-05-01,27.85,27.92,27.31,27.43,64567600,fb,-0.33999999999999986,0,0.4499999999999993,27.77,26.98,26.85,26.14,26.11,25.98,25.97,25.73,25.69,26.63,26.811800000000016,27.79999999999999,24.930699999999984
2013-05-02,28.01,29.02,27.98,28.97,104257000,fb,1.5399999999999991,1,1.1999999999999993,27.43,27.77,26.98,26.85,26.14,26.11,25.98,25.97,25.73,25.69,26.822000000000017,27.81999999999999,24.921949999999985
2013-05-03,29.04,29.07,28.15,28.31,58506400,fb,-0.6600000000000001,0,0.879999999999999,28.97,27.43,27.77,26.98,26.85,26.14,26.11,25.98,25.97,25.73,26.842600000000015,27.828199999999992,24.922249999999984
2013-05-06,28.33,28.46,27.48,27.57,43939400,fb,-0.7399999999999984,0,-1.3999999999999986,28.31,28.97,27.43,27.77,26.98,26.85,26.14,26.11,25.98,25.97,26.851400000000012,27.82549999999999,24.919649999999983
2013-05-07,27.55,27.85,26.85,26.89,41259100,fb,-0.6799999999999997,0,-1.4199999999999982,27.57,28.31,28.97,27.43,27.77,26.98,26.85,26.14,26.11,25.98,26.843800000000016,27.81459999999999,24.908549999999988
2013-05-08,26.88,27.3,26.65,27.12,34654900,fb,0.23000000000000043,1,-0.4499999999999993,26.89,27.57,28.31,28.97,27.43,27.77,26.98,26.85,26.14,26.11,26.83840000000001,27.80999999999999,24.899149999999985
