Date,Close,1d_abs,1d_dir,2d_abs,1d_cls,2d_cls,3d_cls,4d_cls,5d_cls,6d_cls,7d_cls,8d_cls,9d_cls,10d_cls,50d_ma,100d_ma,200d_ma,future_price
2011-04-19,20.22,0.05999999999999872,1,-0.1700000000000017,20.16,20.39,20.43,20.6,20.61,20.88,20.96,21.06,21.02,20.72,20.902,21.54019999999998,20.763700000000004,24.9
2011-04-20,20.71,0.490000000000002,1,0.5500000000000007,20.22,20.16,20.39,20.43,20.6,20.61,20.88,20.96,21.06,21.02,20.864200000000004,21.545499999999983,20.771250000000006,24.67
2011-04-21,20.51,-0.1999999999999993,0,0.2900000000000027,20.71,20.22,20.16,20.39,20.43,20.6,20.61,20.88,20.96,21.06,20.827400000000008,21.548399999999987,20.777400000000007,24.81
2011-04-25,20.59,0.0799999999999983,1,-0.120000000000001,20.51,20.71,20.22,20.16,20.39,20.43,20.6,20.61,20.88,20.96,20.799800000000005,21.55249999999999,20.78450000000001,24.98
2011-04-26,21.05,0.46000000000000085,1,0.5399999999999991,20.59,20.51,20.71,20.22,20.16,20.39,20.43,20.6,20.61,20.88,20.785400000000003,21.554899999999993,20.791650000000008,25.12
2011-04-27,21.2,0.14999999999999858,1,0.6099999999999994,21.05,20.59,20.51,20.71,20.22,20.16,20.39,20.43,20.6,20.61,20.774200000000004,21.551999999999992,20.798400000000004,24.97
2011-04-28,21.47,0.2699999999999996,1,0.41999999999999815,21.2,21.05,20.59,20.51,20.71,20.22,20.16,20.39,20.43,20.6,20.770200000000003,21.55079999999999,20.805250000000004,24.91
2011-04-29,20.83,-0.6400000000000006,0,-0.370000000000001,21.47,21.2,21.05,20.59,20.51,20.71,20.22,20.16,20.39,20.43,20.7524,21.544599999999992,20.808650000000007,24.5
2011-05-02,20.63,-0.1999999999999993,0,-0.8399999999999999,20.83,21.47,21.2,21.05,20.59,20.51,20.71,20.22,20.16,20.39,20.727600000000006,21.536199999999994,20.81350000000001,24.25
2011-05-03,20.75,0.120000000000001,1,-0.0799999999999983,20.63,20.83,21.47,21.2,21.05,20.59,20.51,20.71,20.22,20.16,20.707600000000006,21.526099999999992,20.817600000000006,24.22
2011-05-04,20.95,0.1999999999999993,1,0.3200000000000003,20.75,20.63,20.83,21.47,21.2,21.05,20.59,20.51,20.71,20.22,20.69920000000001,21.51919999999999,20.821700000000007,24.43
2011-05-05,20.73,-0.21999999999999886,0,-0.019999999999999574,20.95,20.75,20.63,20.83,21.47,21.2,21.05,20.59,20.51,20.71,20.686400000000013,21.507999999999992,20.826150000000002,24.69
2011-05-06,20.79,0.05999999999999872,1,-0.16000000000000014,20.73,20.95,20.75,20.63,20.83,21.47,21.2,21.05,20.59,20.51,20.67180000000001,21.498199999999994,20.828050000000005,24.67
2011-05-09,20.76,-0.029999999999997584,0,0.030000000000001137,20.79,20.73,20.95,20.75,20.63,20.83,21.47,21.2,21.05,20.59,20.660200000000014,21.485099999999992,20.829900000000002,24.76
2011-05-10,20.63,-0.13000000000000256,0,-0.16000000000000014,20.76,20.79,20.73,20.95,20.75,20.63,20.83,21.47,21.2,21.05,20.645400000000016,21.468899999999994,20.829950000000004,24.68
2011-05-11,20.38,-0.25,0,-0.38000000000000256,20.63,20.76,20.79,20.73,20.95,20.75,20.63,20.83,21.47,21.2,20.632400000000022,21.448999999999998,20.828500000000005,23.96
2011-05-12,20.35,-0.029999999999997584,0,-0.2799999999999976,20.38,20.63,20.76,20.79,20.73,20.95,20.75,20.63,20.83,21.47,20.62020000000002,21.429599999999997,20.827750000000005,23.43
